fips,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct
13007,398.5,109.7,16.9
13009,548.9,84.1,14.5
13011,363.4,76.7,11.5
13013,306.8,91.4,11.6
13015,436.0,83.3,10.8
13017,503.0,88.4,16.0
13019,432.4,90.5,13.5
13021,514.8,83.4,15.2
13023,407.0,90.4,12.8
13025,437.0,92.2,11.9
13027,359.7,90.1,15.7
13029,358.2,84.4,9.8
13031,341.8,92.9,12.9
13033,430.3,91.3,15.2
13035,372.7,102.7,12.6
13037,410.2,106.9,17.1
13039,370.4,76.0,11.7
13043,426.3,88.6,13.9
13045,430.7,102.0,12.2
13047,338.6,81.7,10.3
13049,315.2,93.1,15.4
13051,355.9,82.5,12.1
13053,354.7,103.5,14.2
13055,501.8,79.3,13.5
13057,289.8,79.2,9.5
13059,342.9,88.1,13.3
13061,428.3,96.8,16.1
13063,366.4,106.0,16.1
13065,625.5,105.3,14.8
13067,266.2,96.1,10.1
13069,456.3,101.3,15.0
13071,327.0,99.4,14.8
13073,231.3,66.8,10.7
13075,465.8,97.6,14.4
13077,372.4,78.4,10.8
13079,460.3,86.9,12.1
13081,437.1,97.1,16.0
13083,491.0,94.3,10.2
13085,309.8,74.6,9.6
13087,497.2,100.7,15.3
13089,243.9,74.4,12.3
13091,390.2,87.4,13.9
13093,391.7,81.5,15.2
13095,326.6,104.3,17.1
13097,417.3,121.1,12.7
13099,531.6,79.3,15.4
13101,279.8,95.5,12.3
13103,364.8,85.4,10.6
13105,443.3,79.5,13.3
13107,534.1,105.3,14.7
13109,375.5,84.2,14.8
13111,345.9,82.6,11.1
13113,264.8,71.6,10.0
13115,522.5,86.3,12.6
13117,244.9,72.8,8.8
13119,528.7,85.5,12.4
13121,269.1,85.2,10.7
13123,363.2,74.1,10.8
13125,415.3,103.0,11.8
13127,340.5,69.8,12.0
13129,443.5,78.0,12.2
13131,375.3,84.5,14.0
13133,339.8,68.3,10.9
13135,232.3,74.0,12.0
13137,321.3,85.8,11.1
13139,283.5,77.2,11.8
