fips,lung_cancer_death_rate,lung_cancer_avg_annual_count
39079,54.8,25
17053,54.8,11
05025,54.8,7
39127,54.8,28
47043,54.7,39
47017,54.7,24
47107,54.7,45
21199,54.7,53
18149,54.7,20
29119,54.7,16
02290,54.6,3
21155,54.6,14
27107,54.6,6
28131,54.6,12
17131,54.6,14
51135,54.6,12
17107,54.6,23
47183,54.5,25
26035,54.5,30
40117,54.5,13
21167,54.4,18
21233,54.4,10
36097,54.4,16
21115,54.4,18
22085,54.3,19
48405,54.3,8
40021,54.3,35
40105,54.2,8
51127,54.2,16
05057,54.2,15
51071,54.1,15
37133,54.1,86
51595,54.1,4
37155,54.1,77
54017,54.1,7
47079,54.0,30
20163,54.0,5
45029,53.9,31
18009,53.9,11
28111,53.9,9
54033,53.9,53
17153,53.8,5
51570,53.8,15
40071,53.8,34
37165,53.7,25
47135,53.7,7
17039,53.6,13
26007,53.5,27
22047,53.5,22
28007,53.5,14
01071,53.5,44
28135,53.5,9
27069,53.4,4
40037,53.3,54
47067,53.3,6
28157,53.3,6
21047,53.3,36
47129,53.3,16
17021,53.2,26
51005,53.2,15
21107,53.2,35
18117,53.1,16
05105,53.1,9
29149,53.1,8
22117,53.1,34
47159,53.1,15
27065,53.0,14
54087,53.0,12
48023,53.0,3
47071,52.9,24
51620,52.9,6
47023,52.9,12
05033,52.9,43
29217,52.9,15
39019,52.8,23
28117,52.8,18
39073,52.8,23
54091,52.8,14
54093,52.8,7
12013,52.7,11
21109,52.7,9
21163,52.7,20
12121,52.7,39
54109,52.7,18
20205,52.6,7
48213,52.6,71
29195,52.6,16
28081,52.6,53
17083,52.6,17
28043,52.6,16
51081,52.5,7
54049,52.5,43
29091,52.5,31
17149,52.5,13
18093,52.5,36
37075,52.4,8
51007,52.4,11
18041,52.4,19
17081,52.4,28
48063,52.4,9
29113,52.3,35
01079,52.3,26
51820,52.3,16
19039,52.2,7
02185,52.2,3
20191,52.2,18
13105,52.2,16
18045,52.2,14
21133,52.2,18
37163,52.2,43
47175,52.2,6
13107,52.2,15
47115,52.2,23
21187,52.1,9
17061,52.1,10
21161,52.1,13
12093,52.1,33
47177,52.1,30
40097,52.1,28
39053,52.0,23
05031,52.0,63
17165,52.0,20
38081,52.0,4
01127,52.0,50
13225,51.9,19
21081,51.9,15
39047,51.9,20
18103,51.8,25
17063,51.8,31
48399,51.8,8
20007,51.8,4
01005,51.7,19
21077,51.7,6
22009,51.7,28
18155,51.7,7
05123,51.6,15
18139,51.6,13
21069,51.6,11
51520,51.6,14
28013,51.6,10
20209,51.6,88
22115,51.5,26
29225,51.4,24
21177,51.4,24
28115,51.4,19
29057,51.4,7
22041,51.4,14
54003,51.3,77
48067,51.3,25
45055,51.3,49
39027,51.3,30
21151,51.2,54
17199,51.2,51
29141,51.2,19
28035,51.2,42
18035,51.2,76
54045,51.1,27
29007,51.1,18
21083,51.1,27
39141,51.0,54
28139,51.0,15
21093,51.0,67
47121,51.0,11
13231,51.0,13
