tract_fips,food_insecurity_pct,housing_insecurity_pct,transportation_barrier_pct,uninsured_pct,depression_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP,food_insecurity_pct_pctile,housing_insecurity_pct_pctile,transportation_barrier_pct_pctile,uninsured_pct_pctile,depression_pct_pctile,RPL_THEMES_pctile,neonatal_risk_proxy_score
45019003111,21.3,17.9,10.2,14.8,18.9,0.5901,0.6822,0.3086,0.8375,0.4325,4626,797,19,781,1159,591,0.7653061224489796,0.8214285714285714,0.7244897959183674,0.8724489795918368,0.0663265306122449,0.7040816326530612,0.6590136054421768
45019003109,19.1,15.6,9.5,13.4,20.7,0.4574,0.3256,0.6176,0.6623,0.4412,3613,814,16,365,230,141,0.7397959183673469,0.7448979591836735,0.6938775510204082,0.7959183673469388,0.3520408163265306,0.6122448979591837,0.6564625850340136
45019002613,12.6,10.4,7.0,10.4,22.2,0.6954,0.553,0.2568,0.5518,0.9621,6285,915,157,976,960,212,0.5612244897959183,0.5816326530612245,0.5867346938775511,0.6224489795918368,0.7346938775510204,0.8112244897959183,0.6496598639455782
45019002503,22.2,16.0,10.4,12.6,19.8,0.4735,0.4657,0.7426,0.5382,0.2579,2518,471,56,157,160,246,0.7959183673469388,0.7551020408163265,0.75,0.7448979591836735,0.19387755102040816,0.6224489795918368,0.6437074829931974
45019002614,14.5,11.8,7.6,10.3,21.9,0.612,0.5628,0.4912,0.3921,0.7345,3527,810,15,462,535,241,0.6224489795918368,0.6224489795918368,0.6122448979591837,0.6071428571428571,0.6581632653061225,0.7346938775510204,0.6428571428571429
45019002605,16.8,12.9,8.6,11.7,20.4,0.6807,0.6193,0.2754,0.618,0.8715,3489,827,76,443,401,269,0.6581632653061225,0.6938775510204082,0.6632653061224489,0.7142857142857143,0.29081632653061223,0.7959183673469388,0.6360544217687075
45019002401,21.8,16.1,10.4,11.3,20.1,0.41,0.359,0.2371,0.6659,0.5422,1425,443,17,61,92,92,0.7755102040816326,0.7653061224489796,0.75,0.7040816326530612,0.23979591836734693,0.5816326530612245,0.6360544217687075
45019003600,13.0,11.2,7.3,10.3,23.1,0.3273,0.4743,0.017,0.4773,0.7144,3052,496,66,366,326,193,0.5918367346938775,0.6122448979591837,0.6020408163265306,0.6071428571428571,0.8826530612244898,0.45918367346938777,0.6258503401360545
45019002701,15.5,12.8,8.4,10.0,20.7,0.6345,0.5182,0.3367,0.8131,0.7809,3411,840,71,469,190,164,0.6428571428571429,0.6836734693877551,0.6428571428571429,0.5816326530612245,0.3520408163265306,0.7653061224489796,0.6113945578231292
45019002504,16.8,12.7,8.2,11.2,20.0,0.6701,0.561,0.8183,0.611,0.5611,4604,957,66,452,640,322,0.6581632653061225,0.6683673469387755,0.6326530612244898,0.6887755102040817,0.21428571428571427,0.7857142857142857,0.6079931972789115
45019005002,18.7,13.8,9.0,10.6,19.2,0.5655,0.6453,0.3929,0.7041,0.4142,3401,1179,58,317,169,405,0.7193877551020408,0.7142857142857143,0.673469387755102,0.6428571428571429,0.09183673469387756,0.6836734693877551,0.5875850340136054
45019005602,11.3,9.7,6.5,8.8,22.9,0.368,0.3662,0.2245,0.4452,0.5255,6275,1269,57,923,457,79,0.49489795918367346,0.5051020408163265,0.5459183673469388,0.5204081632653061,0.8622448979591837,0.5408163265306123,0.5782312925170069
45019001902,10.6,9.0,6.3,8.6,24.0,0.3576,0.6592,0.0311,0.5092,0.4122,5380,1187,247,1036,599,58,0.45918367346938777,0.4489795918367347,0.4846938775510204,0.5,0.9336734693877551,0.5,0.5544217687074829
45019003117,14.8,12.4,7.9,9.7,20.8,0.3305,0.3824,0.4599,0.5546,0.2044,3425,840,30,449,286,43,0.6326530612244898,0.6428571428571429,0.6224489795918368,0.5714285714285714,0.3877551020408163,0.46938775510204084,0.5544217687074829
45019002106,12.2,9.7,6.7,8.8,23.1,0.1546,0.2134,0.0483,0.4833,0.3594,3320,665,37,192,222,73,0.5357142857142857,0.5051020408163265,0.5612244897959183,0.5204081632653061,0.8826530612244898,0.29591836734693877,0.5501700680272109
45019005800,11.8,9.8,6.5,9.0,22.2,0.2386,0.2453,0.2251,0.5518,0.2922,8400,1150,121,713,514,243,0.5204081632653061,0.5255102040816326,0.5459183673469388,0.5459183673469388,0.7346938775510204,0.3673469387755102,0.5399659863945577
45019002604,11.3,9.5,6.3,9.4,21.1,0.5936,0.5443,0.5032,0.5684,0.6234,3614,563,158,365,378,169,0.49489795918367346,0.47959183673469385,0.4846938775510204,0.5612244897959183,0.4846938775510204,0.7142857142857143,0.5365646258503401
