tract_fips,uninsured_pct,high_blood_pressure_pct,coronary_heart_disease_pct,smoking_pct,depression_pct,diabetes_pct,food_insecurity_pct,fair_poor_health_pct,housing_insecurity_pct,transportation_barrier_pct,loneliness_pct,physical_inactivity_pct,mental_distress_pct,obesity_pct,utility_shutoff_threat_pct,stroke_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP
45019004607,7.9,29.5,5.5,8.8,22.5,9.5,8.4,13.0,7.0,5.1,28.3,17.6,13.8,26.4,4.7,2.9,0.2954,0.4194,0.0814,0.1269,0.5668,5515,912,38,881,531,277
45019004609,7.7,33.2,5.7,9.8,20.7,11.4,9.6,14.0,8.1,5.2,28.0,18.8,13.1,28.7,5.3,3.2,0.4216,0.4065,0.4435,0.3528,0.4842,9147,1088,441,1163,149,304
45019004610,6.8,28.5,4.4,8.3,21.0,9.2,7.7,11.4,7.0,4.6,27.4,15.8,12.8,27.0,4.6,2.5,0.1382,0.1067,0.3412,0.293,0.2195,5446,445,73,233,213,190
45019004612,7.5,27.5,4.7,8.5,22.9,8.8,8.2,12.1,7.2,5.0,27.9,16.1,13.9,26.9,4.9,2.5,0.2933,0.6173,0.0935,0.2713,0.2209,7914,1426,386,1410,498,309
45019004613,5.4,29.7,4.9,8.1,21.5,9.5,6.0,11.1,5.5,3.9,26.1,14.6,12.4,26.4,3.7,2.6,0.0024,0.002,0.0097,0.1513,0.1564,1764,55,5,15,22,20
45019004614,5.6,26.7,3.8,6.9,20.7,8.3,6.1,9.8,6.0,3.9,26.9,13.6,12.3,26.0,4.0,2.2,0.0766,0.0428,0.4765,0.1711,0.1152,6816,421,48,646,108,5
45019004615,5.0,28.1,4.4,6.9,20.6,8.6,5.1,9.8,5.0,3.4,25.4,13.4,11.6,25.5,3.4,2.3,0.0007,0.0037,0.0419,0.0309,0.0161,5979,218,30,268,0,0
45019004616,5.1,30.7,5.1,6.6,19.8,9.5,5.2,10.3,4.8,3.4,25.2,14.4,11.1,25.1,3.3,2.6,0.1491,0.0525,0.6694,0.2255,0.1954,8375,384,78,730,158,72
45019004617,5.0,27.3,4.2,7.0,21.0,8.4,5.4,9.7,5.3,3.6,25.6,13.3,11.9,25.8,3.7,2.2,0.0693,0.0529,0.1946,0.1537,0.2049,9219,519,206,274,254,29
45019004618,6.8,27.4,4.4,9.0,22.3,8.7,7.4,11.5,7.0,4.5,28.2,15.8,13.8,26.8,4.5,2.4,0.1608,0.3378,0.1428,0.2895,0.1481,7141,414,113,707,253,505
45019004619,7.2,29.5,5.4,8.0,22.1,9.5,8.0,12.4,6.8,4.9,27.6,16.7,13.3,26.5,4.7,2.8,0.1897,0.1679,0.0582,0.1973,0.6537,5491,902,26,525,172,217
