year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text,tract_fips
2023,SC,South Carolina,Charleston,45019,45019003108,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,12.1,10.5,13.6,3797,2917,"{'type': 'Point', 'coordinates': [-80.0724224, 32.9160257]}",45019003108,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,45019003108
2023,SC,South Carolina,Charleston,45019,45019002006,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,89.9,88.3,91.4,5022,3875,"{'type': 'Point', 'coordinates': [-79.934609, 32.7325383]}",45019002006,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,45019002006
2023,SC,South Carolina,Charleston,45019,45019002006,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,10.6,9.1,12.0,5022,3875,"{'type': 'Point', 'coordinates': [-79.934609, 32.7325383]}",45019002006,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,45019002006
2023,SC,South Carolina,Charleston,45019,45019003200,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,7.9,6.1,9.9,1638,1247,"{'type': 'Point', 'coordinates': [-80.0497104, 32.899309]}",45019003200,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,45019003200
2023,SC,South Carolina,Charleston,45019,45019004000,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,32.6,28.5,37.2,2411,1799,"{'type': 'Point', 'coordinates': [-79.9893873, 32.8453153]}",45019004000,HLTHSTAT,GHLTH,CrdPrv,General Health,45019004000
2022,SC,South Carolina,Charleston,45019,45019002300,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,10.8,8.9,12.9,1884,1660,"{'type': 'Point', 'coordinates': [-80.315321, 32.5734128]}",45019002300,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,45019002300
2022,SC,South Carolina,Charleston,45019,45019004615,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,4.0,3.2,4.9,5406,3856,"{'type': 'Point', 'coordinates': [-79.8343871, 32.8893843]}",45019004615,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,45019004615
2023,SC,South Carolina,Charleston,45019,45019004902,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,3.8,2.9,5.0,2509,2128,"{'type': 'Point', 'coordinates': [-79.7351795, 32.8133989]}",45019004902,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity,45019004902
2022,SC,South Carolina,Charleston,45019,45019005602,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,32.0,28.2,35.9,6558,5367,"{'type': 'Point', 'coordinates': [-80.0934286, 32.8114143]}",45019005602,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration,45019005602
2023,SC,South Carolina,Charleston,45019,45019002105,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,14.8,11.8,17.9,2184,2106,"{'type': 'Point', 'coordinates': [-80.1681457, 32.5818931]}",45019002105,RISKBEH,LPA,CrdPrv,Physical Inactivity,45019002105
2023,SC,South Carolina,Charleston,45019,45019005300,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,12.9,10.8,15.1,3629,2868,"{'type': 'Point', 'coordinates': [-79.9443767, 32.8001609]}",45019005300,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,45019005300
2022,SC,South Carolina,Charleston,45019,45019003108,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,54.9,51.5,58.1,3797,2917,"{'type': 'Point', 'coordinates': [-80.0724224, 32.9160257]}",45019003108,PREVENT,DENTAL,CrdPrv,Dental Visit,45019003108
2023,SC,South Carolina,Charleston,45019,45019002604,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,11.3,9.3,13.7,3619,2952,"{'type': 'Point', 'coordinates': [-80.0002429, 32.8222997]}",45019002604,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity,45019002604
2023,SC,South Carolina,Charleston,45019,45019003109,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,13.5,11.9,15.0,3376,2681,"{'type': 'Point', 'coordinates': [-80.0794055, 32.8942569]}",45019003109,HLTHOUT,DIABETES,CrdPrv,Diabetes,45019003109
2023,SC,South Carolina,Charleston,45019,45019002701,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,32.1,29.4,34.6,2597,2190,"{'type': 'Point', 'coordinates': [-80.0287926, 32.7976991]}",45019002701,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,45019002701
2023,SC,South Carolina,Charleston,45019,45019000100,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,6.5,5.5,7.6,2087,1742,"{'type': 'Point', 'coordinates': [-79.9406132, 32.7721636]}",45019000100,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,45019000100
2022,SC,South Carolina,Charleston,45019,45019005601,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,5.8,4.7,7.0,10428,8215,"{'type': 'Point', 'coordinates': [-80.0758621, 32.7953702]}",45019005601,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,45019005601
